CNPJ;Ticker;AnoRef;DataCotacao;PatrimonioLiquido;LucroLiquido;ROE;Total_Acoes;VPA;Preco;P_VPA
89.637.490/0001-45;KLBN11.SA;2024;2025-03-01;8637200000.0;2046945000.0;23.7;6179682031;1.3976770902891136;17.78382682800293;12.723845122426878
33.256.439/0001-39;UGPA3.SA;2023;2024-01-30;14029826000.0;2517753000.0;17.95;1115212490;12.580406089246722;24.75295066833496;1.967579622846427
33.256.439/0001-39;UGPA3.SA;2024;2025-03-01;15823444000.0;2525900000.0;15.96;1115439503;14.18583792078592;14.588730812072754;1.0284010640426458
50.746.577/0001-15;CSAN3.SA;2023;2024-01-30;50981180000.0;4884744000.0;9.58;1874070932;27.203442052000195;17.639219284057617;0.6484186541666206
17.281.106/0001-03;CSMG3.SA;2023;2024-01-30;7573825000.0;1379346000.0;18.21;380253;19917.85732130976;17.70440673828125;0.000888871049364312
17.281.106/0001-03;CSMG3.SA;2024;2025-03-01;8048229000.0;1316920000.0;16.36;380253;21165.458260684332;21.647483825683594;0.0010227741615164857
05.878.397/0001-32;ALOS3.SA;2023;2024-01-30;15104732000.0;3493910000.0;23.13;573936909;26.31775681811047;21.29448699951172;0.8091300161592037
05.878.397/0001-32;ALOS3.SA;2024;2025-03-01;14134520000.0;811978000.0;5.74;542936909;26.033448390962125;17.131969451904297;0.6580753035334305
07.816.890/0001-53;MULT3.SA;2023;2024-01-30;6933998000.0;1020554000.0;14.72;600760875;11.54202660085013;25.8844051361084;2.2426222041631645
07.816.890/0001-53;MULT3.SA;2024;2025-03-01;5645769000.0;1340986000.0;23.75;519163701;10.87473756182349;20.18366813659668;1.8560142736182275
92.754.738/0001-62;LREN3.SA;2023;2024-01-30;10047221000.0;976259000.0;9.72;963227;10430.792533847161;12.806816101074219;0.001227789361116812
92.754.738/0001-62;LREN3.SA;2024;2025-03-01;10772951000.0;1196668000.0;11.11;1059550;10167.477702798358;10.59117317199707;0.001041671639868175
33.042.730/0001-04;CSNA3.SA;2023;2024-01-30;19684838000.0;402649000.0;2.05;1326093947;14.844225814115717;16.17095947265625;1.0893770867645325
08.364.948/0001-38;ALUP11.SA;2023;2024-01-30;10628790000.0;1150986000.0;10.83;914275704;11.625366345729779;24.842220306396484;2.136897846279185
08.364.948/0001-38;ALUP11.SA;2024;2025-03-01;11723503000.0;1859906000.0;15.86;950846732;12.329540193445183;25.69634246826172;2.0841282047097587
60.840.055/0001-31;FLRY3.SA;2023;2024-01-30;5111070000.0;420823000.0;8.23;547191026;9.34055888555453;13.685991287231445;1.4652218839278732
60.840.055/0001-31;FLRY3.SA;2024;2025-03-01;5374831000.0;603654000.0;11.23;547191026;9.822586162076423;10.09922981262207;1.0281640339907354
03.847.461/0001-92;BRAP4.SA;2023;2024-01-30;7834019000.0;1896619000.0;24.21;393097;19928.971729623987;17.150190353393555;0.0008605657424813427
89.096.457/0001-55;SLCE3.SA;2023;2024-01-30;5241866000.0;937980000.0;17.89;443329716;11.823854370276411;15.940546989440918;1.348168413636193
89.096.457/0001-55;SLCE3.SA;2024;2025-03-01;4104542000.0;481723000.0;11.74;443329716;9.258440956843055;16.217992782592773;1.751698029742881
47.960.950/0001-21;MGLU3.SA;2024;2025-03-01;11319262000.0;448717000.0;3.96;738995248;15.317097140521803;7.067399978637695;0.4614059644461413
02.800.026/0001-40;COGN3.SA;2024;2025-03-01;13545135000.0;991631000.0;7.32;1876606210;7.217888829217932;1.5188603401184082;0.21042999913909435
02.916.265/0001-60;BEEF3.SA;2024;2025-03-01;50370426000.0;10703994000.0;21.25;2218116370;22.70864896055927;4.493715763092041;0.1978856501281426
97.837.181/0001-47;DXCO3.SA;2023;2024-01-30;6522078000.0;811270000.0;12.44;820566;7948.267415418139;7.567073345184326;0.0009520406083098856
97.837.181/0001-47;DXCO3.SA;2024;2025-03-01;7195095000.0;174375000.0;2.42;820566;8768.453725842894;5.652616024017334;0.0006446536870414925
08.312.229/0001-73;EZTC3.SA;2023;2024-01-30;4705064000.0;246096000.0;5.23;220989103;21.290932159673048;10.312150001525879;0.4843446930453343
08.312.229/0001-73;EZTC3.SA;2024;2025-03-01;4883126000.0;428718000.0;8.78;220989103;22.096682296592697;8.799606323242188;0.3982320153373923
08.807.432/0001-10;YDUQ3.SA;2023;2024-01-30;3057085000.0;154651000.0;5.06;309089;9890.63020683363;17.90810775756836;0.0018106134172517438
08.807.432/0001-10;YDUQ3.SA;2024;2025-03-01;3138960000.0;341208000.0;10.87;289089;10858.10944034536;10.185688018798828;0.0009380719613077371
